Class: Racer

Rank,Car_ID,Year,Make,Model,Score
11,69,2018,Subaru,WRX,2
12,71,2008,Acura,TL,2
13,74,2015,Honda,Accord,2
14,75,2012,Subaru,WRX,2
15,86,1996,Volkswagen,Jetta,2
16,100,2006,Volvo,S60r,2
17,172,2014,Bmw,4,2
18,174,2006,Acura,Rsx,2
19,177,2005,Volkswagen,Jetta gli,2
20,179,2004,Volkswagen,R32,2
21,184,2010,Volkswagen,Cc,2
22,197,2010,Audi,A4,2
23,28,1995,Bmw,318xi,4
24,67,2015,Subaru,Sti,4
25,68,2013,Nissan,Altima,4
26,72,2016,Honda,Civic si,4
27,76,2005,Subaru,Sti,4
28,96,2017,Volkswagen,Gti,4
29,98,2012,Mercedes,C63,4
30,102,2015,Honda,Accord,4
31,108,2013,Audi,S4,4
32,159,2013,Hyundai,Gen coupe,4
33,167,2016,Ford,Mystang,4
34,182,2012,Volkswagen,Cc,4
35,183,2005,Volkswagen,Jetta,4
36,185,2013,Volkswagen,Jett,4
37,186,2012,Volkswagen,Gli,4
38,190,1995,Lexus,Sc300,4
39,193,2014,Nissan,Ssntra,4
40,212,2001,Lexus,Is300,4
41,219,2016,Ford,Focus rs,4
42,14,1990,Nissan,Skyline,6
43,22,2007,Honda,Civic,6
44,40,2007,Subaru,Legacy,6
45,64,2004,Subaru,Forester,6
46,81,2016,Volkswagen,GTI,6
47,89,2014,Honda,Civic si,6
48,94,2004,Volkswagen,Gti,6
49,95,2004,Infiniti,G35,6
50,116,2008,Audi,A4,6
51,138,1990,Mazda,Miata,6
52,220,2004,Audi,A4,6
53,222,2015,Lexus,Is250,6
54,230,2004,Acura,Tsx,6
55,243,2008,Toyota,Matrix,6
56,24,2013,Subaru,BRZ,8
57,34,2010,Honda,Fit,8
58,59,2012,Volkswagen,Golf,8
59,79,1993,Mazda,Miata,8
60,92,2017,Hyundai,Elantra sport,8
61,163,2013,Mitsu,Ralliart,8
62,235,2013,Scion,Frs,8
63,241,2007,Toyota,Camry,8
64,93,2005,Acura,TL,10
65,114,2010,Volkswagen,Gti,10
66,120,2014,Ford,Focus st,10
67,2,2016,Bmw,M2,12
68,4,2007,Honda,Civic,12
69,7,2014,Nissan,Sentra,12
70,49,1997,Acura,Integra,12
71,78,2015,Mazda,6,12
72,144,2016,Volkswagen,Gti,12
73,150,2006,Nissan,350z,12
74,153,2017,Subaru,Brz,12
75,187,2007,Subaru,Legacy,12
76,226,2008,Honda,Accord,12
77,242,2014,Nissan,Maxima,12
78,6,2016,Volkswagen,Golf r,14
79,9,1996,Nissan,240,14
80,10,2001,Nissan,S15,14
81,37,2015,Subaru,Sti,14
82,46,2008,Volkswagen,R32,14
83,56,2009,Volkswagen,Jetta,14
84,118,1993,Honda,Civic,14
85,134,2013,Subaru,WRX,14
86,140,1995,Mitsu,Evo8,14
87,145,1990,Volkswagen,Gti,14
88,181,2003,Volkswagen,Gti,14
89,207,1993,Honda,Civic eG,14
90,238,1982,Volkswagen,Rabbit,14
91,4341,1992,Nissan,Rps13,14
92,8,1991,Nissan,Skyline,16
93,11,1991,Nissan,Skyline,16
94,17,2016,Mercedes,C43,16
95,20,2009,Infiniti,G37,16
96,30,2012,Hyundai,Celoster,16
97,43,2011,Toyota,4 Runner,16
98,44,2018,Honda,Civic si,16
99,88,2008,Honda,Accord,16
100,99,2014,Honda,Civic si,16
101,104,2014,Honda,Civic si,16
102,130,2016,Honda,Civic si,16
103,137,2017,Ford,Focus rs,16
104,200,2016,Subaru,WRX,16
105,Showcar,2014,Nissan,Gtr,18
106,18,2015,Audi,S3,18
107,21,2009,Subaru,WRX,18
108,45,2006,Acura,TL,18
109,110,2011,Toyota,Camry,18
110,141,1993,Mazda,Miata,18
111,211,2004,Acura,Tsx,18
112,218,2010,Chevy,Camaro,18
113,232,2018,Subaru,WRX,18
114,19,2001,Mitsu,Evo7,20
115,51,2015,Subaru,WRX,20
116,52,2007,Mazda,Speed 3,20
117,53,2013,Subaru,WRX,20
118,85,2017,Honda,Accord,20
119,121,2012,Acura,TL,20
120,162,2014,Nissan,370z,20
121,12,1990,Nissan,240,22
122,23,1998,Subaru,Legacy,22
123,38,2017,Hyundai,Elantra sport,22
124,57,2015,Scion,Frs,22
125,84,2012,Mercedes,Cl63amg,22
126,176,2014,Mitsu,Lancer,22
127,3,2011,Nissan,370,24
128,5,2003,Acura,Rsx,24
129,36,2016,Subaru,WRX,24
130,41,2012,Acura,Tsx,24
131,48,2015,Acura,TLX,24
132,122,2011,Infiniti,M37s,24
133,25,2012,Mercedes,C250,26
134,33,2015,Subaru,Sti,26
135,39,2011,Honda,Civic,26
136,115,2001,Honda,Crv,26
137,123,2006,Lexus,Sc430,26
138,142,1993,Toyota,Supra,26
139,189,2012,Toyota,Fj cruiser,26
140,1051,2006,Acura,Tsx,26
141,35,2016,Honda,Civic,28
142,127,2013,Acura,Tsx,28
143,156,2014,Volkswagen,Gli,28
144,170,2014,Chevy,Cruze,28
145,175,2006,Honda,Civic,28
146,31,2007,Honda,Fit,30
147,106,2007,Acura,Tl type s,30
148,180,2011,Volkswagen,Gti,30
149,158,2007,Nissan,350z,32
150,178,2009,Honda,Oddesy,32
151,216,2007,Chrystler,300,32
152,225,2016,Acura,TLX,32
153,50,2015,Acura,TLX,34
154,63,2010,Honda,Civic,34
155,228,2010,Nissan,370,34
156,13,2016,Honda,Civic 1.5t,36
157,83,2014,Honda,Accord,36
158,103,2010,Acura,Tsx,36
159,126,2010,Volkswagen,Eos,36
160,91,2010,Mitsu,Lancer,38
161,161,2012,Nissan,370z,38
162,65,2009,Honda,Fit,42
163,112,2008,Acura,TL,42
164,113,2012,Acura,Tsx sportwagon,42
165,15,2014,Audi,S4,46
166,124,2015,Jeep,Wrangler,48
167,128,2010,Infiniti,G37,48

Class: Mods_Overall 

Rank,Car_ID,Year,Make,Model,Score
1,Vip,2008,Volkswagen,Gli,0
2,0,2015,Chevy,Camaro,0
3,1,2012,Subaru,WRX,0
4,4,2007,Honda,Civic,0
5,16,2008,Nissan,350z,0
6,28,1995,Bmw,318xi,0
7,34,2010,Honda,Fit,0
8,38,2017,Hyundai,Elantra sport,0
9,40,2007,Subaru,Legacy,0
10,42,2001,Dodge,Viper,0
11,46,2008,Volkswagen,R32,0
12,59,2012,Volkswagen,Golf,0
13,64,2004,Subaru,Forester,0
14,66,2010,Volkswagen,Gti,0
15,69,2018,Subaru,WRX,0
16,70,2014,Honda,Civic,0
17,71,2008,Acura,TL,0
18,72,2016,Honda,Civic si,0
19,75,2012,Subaru,WRX,0
20,76,2005,Subaru,Sti,0
21,78,2015,Mazda,6,0
22,81,2016,Volkswagen,GTI,0
23,86,1996,Volkswagen,Jetta,0
24,92,2017,Hyundai,Elantra sport,0
25,93,2005,Acura,TL,0
26,95,2004,Infiniti,G35,0
27,100,2006,Volvo,S60r,0
28,101,2014,Honda,Civic,0
29,130,2016,Honda,Civic si,0
